"Type","SKU","GTIN, UPC, EAN, or ISBN","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?","Stock","Low stock amount","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text","Position","Brands","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 used for variations","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 used for variations","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 used for variations","Attribute 3 global","Meta: _mpn"
"variable","ASG-ASGARD-ANGLE-HEAD","","Asgard Angle Head","1","0","visible","The Asgard® Angle Head is used to perfectly feather the joint compound applied to both sides of internal corners in one pass. The Angle Head can be used for wall-to-wall internal corners or wall-to-ceiling corners. The Angle Head is generally used as part of the Taping process to wipe down the corner after the corne...","<p>The Asgard® Angle Head is used to perfectly feather the joint compound applied to both sides of internal corners in one pass. The Angle Head can be used for wall-to-wall internal corners or wall-to-ceiling corners. The Angle Head is generally used as part of the Taping process to wipe down the corner after the corner roller (CR01-AD) is used to set the joint tape into the corner. When the Angle Head is used to wipe down the corners, attach it to the FH-AD or XH-AD support handles with the CFA-AD adapter (not included).</p> <ul> <li>Wipes down excess joint compound in internal corners</li> <li>Embeds joint tape in internal corners of walls and ceilings</li> <li>Finishes internal corners of walls and ceilings</li> </ul> <h3>Features</h3> <ul> <li>Stainless Steel Frames</li> <li>Patented, positive Ball Retainer</li> <li>EasyRoll Wheels</li> <li>Adjustable Springs</li> </ul> <ul></ul> <ul></ul>","","","taxable","","1","","","0","0","","","","","1","","","","Drywall Finishing Tools > Asgard > Automatic Taping Tools","AH25-AD, AH30-AD, AH35-AD, Asgard, Automatic Taping Tools, angle head, corner finisher, corner flusher, finisher","","","","","","","","","","","0","Asgard","Angle Head Size","2.5"" | 3"" | 3.5""","1","1","1","","","","","","","","","","","AH25-AD, AH30-AD, AH35-AD"
"variation","AH25-AD","","Asgard Angle Head","1","0","visible","","","","","taxable","","1","","","0","0","1","","","","1","","","349.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","AH25-AD, AH30-AD, AH35-AD, Asgard, Automatic Taping Tools, angle head, corner finisher, corner flusher, finisher","","","","","ASG-ASGARD-ANGLE-HEAD","","","","","","1","Asgard","Angle Head Size","2.5""","","1","1","","","","","","","","","","","AH25-AD"
"variation","AH30-AD","","Asgard Angle Head","1","0","visible","","","","","taxable","","0","","","0","0","1.05","","","","1","","","373.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","AH25-AD, AH30-AD, AH35-AD, Asgard, Automatic Taping Tools, angle head, corner finisher, corner flusher, finisher","","","","","ASG-ASGARD-ANGLE-HEAD","","","","","","2","Asgard","Angle Head Size","3""","","1","1","","","","","","","","","","","AH30-AD"
"variation","AH35-AD","","Asgard Angle Head","1","0","visible","","","","","taxable","","0","","","0","0","1.15","","","","1","","","393.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","AH25-AD, AH30-AD, AH35-AD, Asgard, Automatic Taping Tools, angle head, corner finisher, corner flusher, finisher","","","","","ASG-ASGARD-ANGLE-HEAD","","","","","","3","Asgard","Angle Head Size","3.5""","","1","1","","","","","","","","","","","AH35-AD"
"simple","CFA-AD","","Asgard Angle Head Adapter","1","0","visible","The Asgard CFA-AD Angle Head Adapter is used to connect the 2.5” or 3” Angle Head to the support handle as part of the Taping process. The Angle Head Adapter connects securely to the XH-AD or FH-AD support handles. The support handle, Angle Head Adapter and Angle Head are used to wipe down the excess joint compound...","<p>The Asgard CFA-AD Angle Head Adapter is used to connect the 2.5” or 3” Angle Head to the support handle as part of the Taping process. The Angle Head Adapter connects securely to the XH-AD or FH-AD support handles. The support handle, Angle Head Adapter and Angle Head are used to wipe down the excess joint compound after the corner roller sets the joint tape in the internal corner.</p> <ul> <li>Attaches securely to FH-AD or XH-AD Support Handles to operate Angle Heads during Taping process.</li> </ul> <ul></ul>","","","taxable","","1","","","0","0","0.7","","","","1","","","45.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, CFA-AD, accessory, adaptor, angle head adaptor, semi automatic","","","","","","","","","","","0","Asgard","","","","","","","","","","","","","","","","CFA-AD"
"simple","CA08-AD","","Asgard Applicator Box – Head Only","1","0","visible","The Asgard® CA08-AD Corner Applicator supplies joint compound to the Angle Heads for fast and efficient finishing of internal corners (angles). The CA08-AD Corner Applicator features a stainless steel cone and a D-Shaped adapter to prevent rotation. Use with the FH-AD or XH-AD Support Handle – not included.","<p>The Asgard® CA08-AD Corner Applicator supplies joint compound to the Angle Heads for fast and efficient finishing of internal corners (angles). The CA08-AD Corner Applicator features a stainless steel cone and a D-Shaped adapter to prevent rotation. Use with the FH-AD or XH-AD Support Handle – not included.</p> <ul> <li>Finishes internal corners (with Angle Heads) </li> </ul> <h3>Features</h3> <ul> <li>Stainless Steel Cone</li> <li>D-Shaped adapter to prevent rotation.</li> </ul> <ul></ul>","","","taxable","","1","","","0","0","2.8","","","","1","","","298.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, CA08-AD, corner angle box, corner box, corner finisher box, corner flusher box, cornerbox, flusher box","","","","","","","","","","","0","Asgard","","","","","","","","","","","","","","","","CA08-AD"
"simple","BBHE-AD","","Asgard Brakeless Box Extendable Handle - 38” - 60”","1","0","visible","Asgard® introduces the first full length brakeless finishing box handle. The friction brake design eliminates the learning curve associated with standard finishing box handles and makes it easy to achieve professional results within minutes of starting to work with automatic taping and finishing tools. Ergonomic kno...","<p>Asgard® introduces the first full length brakeless finishing box handle. The friction brake design eliminates the learning curve associated with standard finishing box handles and makes it easy to achieve professional results within minutes of starting to work with automatic taping and finishing tools. Ergonomic knob makes it easy to adjust the amount of friction.</p> <ul> <li>Attaches to all Asgard finishing boxes for professional finishing of flat joints on walls and ceilings</li> </ul> <h3>Features</h3> <ul> <li>Extends from 38” to 60” (97 cm to 152 cm)</li> <li>Friction brake design eliminates the learning curve associated with standard finishing box handles</li> <li>Optimal handle diameter for superior ergonomics</li> </ul> <p><em><strong>Note: Flat box not included.</strong></em></p> <ul></ul> <ul></ul> <ul></ul>","","","taxable","","1","","","0","0","3.85","","","","1","","","294.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, BBHE-AD, Brakeless, Brakeless Box Handle, Brakeless Handle, flat box handle","","","","","","","","","","","0","Asgard","","","","","","","","","","","","","","","","BBHE-AD"
"simple","BBH-AD","","Asgard Brakeless Box Handle (Fixed Length) - 34""","1","0","visible","Asgard® introduces the first full length brakeless finishing box handle. The friction brake design eliminates the learning curve associated with standard finishing box handles and makes it easy to achieve professional results within minutes of starting to work with automatic taping and finishing tools. Ergonomic kno...","<p>Asgard® introduces the first full length brakeless finishing box handle. The friction brake design eliminates the learning curve associated with standard finishing box handles and makes it easy to achieve professional results within minutes of starting to work with automatic taping and finishing tools. Ergonomic knob makes it easy to adjust the amount of friction.</p> <ul> <li>Attaches to all Asgard finishing boxes for professional finishing of flat joints on walls and ceilings</li> </ul> <h3>Features</h3> <ul> <li>Friction brake design eliminates the learning curve associated with standard finishing box handles</li> <li>Optimal handle diameter for superior ergonomics</li> <li>Easy to clean fiberglass construction</li> <li>34"" (86 cm) length</li> </ul> <p><em><strong>Note: Flat box not included.</strong></em></p> <ul></ul> <ul></ul> <ul></ul>","","","taxable","","1","","","0","0","2.95","","","","1","","","142.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, BBH-AD, Brakeless, Brakeless Box Handle, Brakeless Handle, flat box handle","","","","","","","","","","","0","Asgard","","","","","","","","","","","","","","","","BBH-AD"
"simple","TTBDL9","","Asgard Classic Finishing Set","1","0","visible","The Asgard Classic Finishing Box Combo includes the tools you need to start finishing flat joints quickly and professionally. The adjustable length handle provides flexibility for multiple ceiling heights","<p>The Asgard Classic Finishing Box Combo includes the tools you need to start finishing flat joints quickly and professionally. The adjustable length handle provides flexibility for multiple ceiling heights</p> <p><strong>10"" and 12"" Flat Finishing Boxes (EZ10-AD) (EZ12-AD)</strong></p> <p>The Asgard® Classic Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The Finishing Box helps produce professional results every time. The adjustable crown setting dial allows you to easily adjust the amount of joint compound applied over the tape on the drywall joint. This is very helpful when progressing from the first finishing application to the second or third application. The pivoting axle helps to compensate when the gypsum board on one side of the joint is higher than the other side of the joint.</p> <p><strong>Loading Pump and Filler Adapter (LP01-AD) (FA01-AD)</strong></p> <p>The Asgard® Loading Pump combines reliability with innovation. It is used together with the GN01-TT Gooseneck and FA01-AD Filler Adapter to fill the Automatic Taper, Finishing Boxes, Corner Applicator and Nail Spotter with joint compound. The LP01-AD features the slim tube design preferred by professional finishers and robust construction for dependable performance and long life. The twist-lock foot valve provides secure attachment and easy removal for cleaning and maintenance. Unlike loading pumps from other brands the Asgard LP01-AD does not require a paper gasket for the filler adapter or gooseneck due to an innovative, integrated O-Ring that provides a terrific seal with fewer headaches from lost, worn or damaged paper gaskets.</p> <ul> <li>Fills Automatic Tapers (with GN01-TT Gooseneck)</li> <li>Fills finishing boxes, corner applicator and nail spotter (with FA01-AD filler adapter)</li> </ul> <p><strong> Brakeless Box Extendable Handle - 38” - 60 (BBHE-AD)</strong></p> <p>Asgard® introduces the first full-length brakeless finishing box handle. The friction brake design eliminates the learning curve associated with standard finishing box handles and makes it easy to achieve professional results within minutes of starting to work with automatic taping and finishing tools. The ergonomic knob makes it easy to adjust the amount of friction.</p>","","","taxable","","0","","","0","0","","","","","1","","","1246.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, BBHE-AD, EZ10-AD, EZ12-AD, FA01-AD, LP01-AD, flat box set, mud pump, set, taping set","","","","","","","","","","","0","Asgard","","","","","","","","","","","","","","","","TTBDL9"
"simple","FBHE-AD","","Asgard Extendable Finishing Box Handle - 41"" - 63""","1","0","visible","The Asgard® Extendable Finishing Box Handle attaches to the Classic, MAXXBOX® or Power Assist® Finishing Boxes and provides control to cleanly sweep the boxes off the joint for a perfect finish. The FBHE-AD Handle is the strongest extendable finishing box handle and the industry and adjusts from 41"" to 63"" for incre...","<p>The Asgard® Extendable Finishing Box Handle attaches to the Classic, MAXXBOX® or Power Assist® Finishing Boxes and provides control to cleanly sweep the boxes off the joint for a perfect finish. The FBHE-AD Handle is the strongest extendable finishing box handle and the industry and adjusts from 41"" to 63"" for increased reach and versatility</p>","","","taxable","","1","","","0","0","3.7","","","","1","","","322.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, Extendable Handle, FBHE-AD, flat box handle","","","","","","","","","","","0","Asgard","","","","","","","","","","","","","","","","FBHE-AD"
